0,62.7,60.9,61.7,61.7,67.1,62.9,63.2,61.2,63.7,63.7,63.3,61.2,66.9,60.9,63.6,66.8,61
56.4,0,1.7,0.4,0.5,5.9,0.6,3.3,0.9,3.8,4,3.3,2.2,3.8,2.8,7.9,5.5,2.5
57.3,0.8,0,0.8,0.9,5.1,1,2.7,0.3,3.2,3.4,2.7,2.6,3.2,3.1,7.7,4.8,2.9
57.2,0.7,1.8,0,0.3,5.1,0.5,2.7,1.1,3.2,3.4,2.8,2.4,3.3,3,7.2,4.9,2.7
56.9,0.5,1.6,0.5,0,5.1,0.7,2.8,0.8,3.2,3.5,2.8,2.2,3.3,2.7,7.4,4.9,2.4
60.1,4.4,4.8,4.3,3.9,0,4.7,2.8,4,2.9,3.6,2.8,4.9,1.8,5.8,8.3,4.2,5.7
56.9,0.7,1.8,0.5,0.6,5.3,0,3.4,1,3.9,4.1,3.4,2.3,3.9,2.9,8,5.6,2.6
58,3.5,3.7,3.4,3,4.4,3.6,0,3.1,1.3,0.8,0.8,4,1.7,3.2,6,2.5,2.9
56.8,1.2,1.9,1.2,0.7,4.8,1.4,2.4,0,2.9,3.1,2.4,2.5,2.9,3.1,7.4,4.6,2.8
57.9,3.3,3.6,3.3,2.8,4.3,3.5,0.7,3,0,0.7,0.7,3.8,1.5,3.1,5.9,2.4,2.7
58,3.4,3.7,3.4,3,4.4,3.6,0.8,3.1,1.3,0,0.8,3.9,1.7,3.2,5.6,2.1,2.9
58.4,3.2,3.5,3.2,2.7,3.6,3.4,1,2.9,0.5,1.1,0,3.2,0.9,3.5,6.4,2.4,3.2
56.1,1.5,1.6,1.5,1.6,5.6,1.7,2,1,2.5,2.4,2,0,2.9,1.2,6.2,3.9,0.9
58.4,3.2,3.5,3.2,2.7,3.3,3.4,1,2.9,1.1,1.8,1,3.2,0,4.1,7,2.7,4
55,2.9,2.2,2.9,3,7.2,3.1,3.7,2.5,4.2,3.7,3.8,1.7,4.6,0,6,5.2,1
65.6,7.2,7.4,7.2,6.7,9.4,7.4,5.1,6.5,5.3,4.3,5.1,6.9,5.9,5.4,0,3.2,6.2
60.4,7.1,7.4,7.1,6.6,6,7.3,4.5,6.8,3.4,3.7,4.5,7.6,4.7,6.8,5.1,0,6.5
55.4,2.2,1.8,2.1,2.2,6.2,2.3,2.8,1.6,3.3,2.7,2.8,1.4,3.7,0.6,6.5,4.2,0
